"count","time","lineColor","label"
"93","50","","50"
"94","10300","#AF0B0B","10300"
"95","3950","#076969","3950"
"96","1000","#AF550B","1000"
"97","350","#098C09","350"
"98","10000","#AF0B0B","10000"
"99","3900","#076969","3900"
"100","1000","#AF550B","1000"
"101","350","#098C09","350"
"102","10000","#AF0B0B","10000"
"103","3900","#076969","3900"
"104","1050","#AF550B","1050"
"105","300","#098C09","300"
"106","10000","#AF0B0B","10000"
"107","3950","#076969","3950"
"108","1000","#AF550B","1000"
"109","350","#098C09","350"
"110","10000","#AF0B0B","10000"
"111","3900","#076969","3900"
"112","1000","#AF550B","1000"
"113","350","#098C09","350"
"114","10000","#AF0B0B","10000"
"115","3900","#076969","3900"
"116","1000","#AF550B","1000"
"117","300","#098C09","300"
"118","8150","#AF0B0B","8150"
